LinkSNIFA,RUT
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2,89258800-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/3,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/4,96866010-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/5,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/6,79580800-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/7,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/8,83693800-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/9,96757030-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10,90286000-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11,86381300-K
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/12,83693800-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/14,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/16,76101153-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/17,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/18,88486800-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/19,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/20,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/21,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/22,84442100-1
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/23,87756500-9
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/24,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/25,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/26,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/27,96579330-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/28,99520000-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/29,93770000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/32,77524300-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/33,Información Reservada
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/35,99554700-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/36,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/37,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/38,79982210-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/39,96525320-3
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/40,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/41,96720590-7
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/42,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/43,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/44,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/45,99566860-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/46,NO_REGISTRA
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/47,99546310-5
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/48,76071048-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/49,94226000-8
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/50,76882090-2
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/51,
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/52,96659030-0
http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/53,89113900-4
